Combination,Study 1 N,Study 1 %,Study 2 N,Study 2 %,Study 3 N,Study 3 %
1111,512,26.1,226,22.6,99,23.4
1110,192,9.8,93,9.3,26,6.1
1101,354,18.1,191,19.1,57,13.5
1100,23,1.2,24,2.4,7,1.7
1011,68,3.5,28,2.8,11,2.6
1010,162,8.3,76,7.6,16,3.8
1001,58,3.0,33,3.3,18,4.3
1000,40,2.0,21,2.1,12,2.8
0111,273,13.9,158,15.8,75,17.7
0110,139,7.1,69,6.9,36,8.5
0101,57,2.9,42,4.2,31,7.3
0100,4,0.2,1,0.1,4,0.9
0011,7,0.4,4,0.4,2,0.5
0010,62,3.2,27,2.7,21,5.0
0001,4,0.2,7,0.7,5,1.2
0000,5,0.3,1,0.1,3,0.7
Total,1960,100.0,1001,100.0,423,100.0
